Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Date,Day_Type,Educational_Time,Recreational_Time
14,Male,3.99,Smartphone,True,0.42,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-07,Weekday,1.6758,2.3142000000000005
11,Female,4.61,Laptop,True,0.3,Poor Sleep,Urban,11-15,2025-10-19,Weekend,1.383,3.2270000000000003
18,Female,3.73,TV,True,0.32,Poor Sleep,Urban,16-20,2025-10-28,Weekday,1.1936,2.5364
15,Female,1.21,Laptop,False,0.39,None,Urban,11-15,2025-10-07,Weekday,0.4719,0.7381
12,Female,5.89,Smartphone,True,0.49,"Poor Sleep, Anxiety",Urban,11-15,2025-10-15,Weekday,2.8861,3.0039
14,Female,4.88,Smartphone,True,0.44,Poor Sleep,Urban,11-15,2025-10-05,Weekend,2.1471999999999998,2.7328
17,Male,2.97,TV,False,0.48,None,Rural,16-20,2025-10-27,Weekday,1.4256,1.5444000000000002
10,Male,2.74,TV,True,0.54,None,Urban,6-10,2025-10-31,Weekday,1.4796000000000002,1.2604
14,Male,4.61,Laptop,True,0.36,"Poor Sleep, Anxiety",Rural,11-15,2025-10-23,Weekday,1.6596,2.9504
18,Male,3.24,Tablet,True,0.48,"Poor Sleep, Obesity Risk",Urban,16-20,2025-10-05,Weekend,1.5552000000000001,1.6848
18,Male,3.53,Tablet,True,0.44,Poor Sleep,Rural,16-20,2025-10-30,Weekday,1.5532,1.9768
15,Female,4.94,TV,True,0.36,Poor Sleep,Rural,11-15,2025-10-01,Weekday,1.7784,3.1616000000000004
12,Male,4.59,Smartphone,True,0.43,Poor Sleep,Urban,11-15,2025-10-28,Weekday,1.9737,2.6163
11,Male,6.08,TV,True,0.48,Eye Strain,Rural,11-15,2025-10-06,Weekday,2.9184,3.1616
15,Male,6.15,Smartphone,True,0.4,Poor Sleep,Urban,11-15,2025-10-18,Weekend,2.4600000000000004,3.69
15,Female,3.69,Smartphone,True,0.34,Poor Sleep,Urban,11-15,2025-10-04,Weekend,1.2546000000000002,2.4353999999999996
10,Female,7.1,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Rural,6-10,2025-10-25,Weekend,3.053,4.047
13,Female,6.98,Smartphone,True,0.48,Obesity Risk,Urban,11-15,2025-10-30,Weekday,3.3504,3.6296000000000004
12,Male,3.82,Smartphone,True,0.4,Anxiety,Urban,11-15,2025-10-26,Weekend,1.528,2.292
9,Female,0.0,TV,False,0.42,None,Urban,6-10,2025-10-20,Weekday,0.0,0.0
15,Male,3.85,Smartphone,True,0.49,Obesity Risk,Urban,11-15,2025-10-24,Weekday,1.8865,1.9635
13,Female,4.05,Smartphone,True,0.33,Eye Strain,Urban,11-15,2025-10-02,Weekday,1.3365,2.7135
9,Female,1.63,Tablet,False,0.58,None,Urban,6-10,2025-10-02,Weekday,0.9453999999999999,0.6846
12,Female,6.78,TV,True,0.33,Eye Strain,Urban,11-15,2025-10-01,Weekday,2.2374,4.5426
8,Male,3.19,Tablet,True,0.54,"Poor Sleep, Anxiety, Obesity Risk",Urban,6-10,2025-10-21,Weekday,1.7226000000000001,1.4673999999999998
